Ticker,mention_count,avg_sentiment,total_sentiment
GUT,3,1.0,3
MAIN,3,-0.3333333333333333,-1
JCOM,3,1.0,3
JEC,3,1.0,3
ECHO,3,1.0,3
MCO,3,-0.3333333333333333,-1
JMBA,3,1.0,3
JOY,3,-0.3333333333333333,-1
LOCK,3,1.0,3
KSS,3,0.3333333333333333,1
KTOS,3,-0.3333333333333333,-1
LIFE,3,0.3333333333333333,1
JAZZ,3,1.0,3
JBHT,3,-0.3333333333333333,-1
EGN,3,-0.3333333333333333,-1
ITLL,3,1.0,3
ESD,3,-1.0,-3
ESS,3,-0.3333333333333333,-1
ESSX,3,-0.3333333333333333,-1
FAV,3,0.3333333333333333,1
FCFS,3,1.0,3
ACT,3,-0.3333333333333333,-1
AGNC,3,1.0,3
ADX,3,1.0,3
AEP,3,0.3333333333333333,1
AG,3,1.0,3
WK,3,1.0,3
TWI,3,1.0,3
TXN,3,1.0,3
TY,3,-0.3333333333333333,-1
ADSK,3,1.0,3
TSCO,2,1.0,2
TSLA,2,1.0,2
TINY,2,1.0,2
GNTX,2,1.0,2
GPX,2,1.0,2
GEN,2,1.0,2
GG,2,-1.0,-2
GI,2,1.0,2
YUM,2,0.0,0
FTNT,2,1.0,2
WTI,2,1.0,2
WIT,2,1.0,2
WMB,2,1.0,2
AGCO,2,1.0,2
AGN,2,1.0,2
AET,2,1.0,2
ACTG,2,0.0,0
ACTS,2,0.0,0
HERO,2,0.0,0
INFO,2,1.0,2
ING,2,1.0,2
EXAS,2,1.0,2
TEAM,2,1.0,2
TEAR,2,1.0,2
TEN,2,1.0,2
TACT,2,1.0,2
TAT,2,1.0,2
ASNA,2,-1.0,-2
ATE,2,0.0,0
AP,2,0.0,0
APOG,2,1.0,2
TOL,2,0.0,0
SUN,2,1.0,2
SP,2,1.0,2
AXE,2,1.0,2
AWK,2,1.0,2
EXC,2,0.0,0
EZCH,2,-1.0,-2
FBHS,2,1.0,2
III,2,1.0,2
ELON,2,1.0,2
EMC,2,1.0,2
EMIS,2,0.0,0
JCI,2,1.0,2
EDMC,2,1.0,2
BEAV,2,1.0,2
BECN,2,-1.0,-2
BEN,2,0.0,0
BGCP,2,1.0,2
SNA,2,-1.0,-2
SNDK,2,0.0,0
SIR,2,1.0,2
SIRI,2,-1.0,-2
SWC,2,1.0,2
SXC,2,1.0,2
SYK,2,1.0,2
SGI,2,0.0,0
SGMO,2,1.0,2
SGY,2,0.0,0
SHW,2,1.0,2
BP,2,0.0,0
BOOT,2,0.0,0
BIN,2,1.0,2
BIOS,2,1.0,2
